_time,tipo_aviso,grau_severidade,temperature,humidity,pressure,altitude,windspeed,solarvolt,batvolt
"2024-02-12 18:46:48.706000+00:00,""TM, TM, TM"",""PP, PP, P"",26.22000122,79.66455078,980.6245117,,6.650123596,3.632071495,4.817863464"
"2024-02-12 18:57:00.020000+00:00,""TM, TM, TM"",""PP, PP, P"",26.45999908,75.74609375,980.4696655,,9.975185394,2.997558117,4.815214157"
"2024-02-12 19:07:13.704000+00:00,""TM, TM, TM"",""PP, PP, P"",25.97999954,80.47802734,980.5744629,,6.650123596,1.93610096,4.81521368"
"2024-02-12 19:17:25.053000+00:00,""TM, TM, TM"",""PP, PP, P"",26.59000015,78.37353516,980.8996582,,3.325061798,0.60663414,4.81461525"
"2024-02-12 19:27:35.793000+00:00,""TM, TM, TM"",""PP, PP, P"",26.91500092,76.00683594,981.0594482,,7.315135956,0.0,4.812393188"
"2024-02-12 19:37:50.194000+00:00,""TM, TM, TM"",""PP, PP, P"",26.49000168,78.97314453,981.2432861,,0.0,0.0,4.812906265"
"2024-02-12 19:48:00.868000+00:00,""TM, TM, TM"",""PP, PP, P"",26.43500137,78.16113281,981.1126709,,0.0,0.0,4.811795235"
"2024-02-12 19:58:12.053000+00:00,""TM, TM, TM"",""PP, PP, P"",26.65999985,76.89013672,981.0108643,,3.325061798,0.0,4.812734604"
"2024-02-12 20:08:25.849000+00:00,""TM, TM, TM"",""PP, PP, P"",26.52000046,76.78759766,981.1427002,,0.0,0.0,4.809743881"
"2024-02-12 20:18:36.662000+00:00,""TM, TM, TM"",""PP, PP, P"",27.03000069,69.09277344,981.0921631,,21.94540787,0.0,4.811880589"
"2024-02-12 20:28:48.029000+00:00,""TM, TM, TM"",""PP, PP, P"",27.15999985,69.84423828,981.234375,,6.650123596,0.0,4.810341835"
"2024-02-12 20:39:01.796000+00:00,""TM, TM, TM"",""PP, PP, P"",27.11000061,71.69824219,981.4237061,,0.0,0.0,4.809743404"
"2024-02-12 20:49:13.046000+00:00,""TM, TM, TM"",""PP, PP, P"",27.04500008,72.94628906,981.4627075,,0.0,0.0,4.807777882"
"2024-02-12 20:59:23.691000+00:00,""TM, TM, TM"",""PP, PP, P"",27.27500153,71.61181641,981.6118774,,0.0,0.0,4.809743881"
"2024-02-12 21:09:37.931000+00:00,""TM, TM, TM"",""PP, PP, P"",26.99499893,74.14990234,981.7869873,,3.325061798,0.0,4.80495739"
"2024-02-12 21:19:49.176000+00:00,""TM, TM, TM"",""PP, PP, P"",27.35499954,70.51025391,981.6658325,,3.325061798,0.0,4.806154251"
"2024-02-12 21:29:59.850000+00:00,""TM, TM, TM"",""PP, PP, P"",27.71500015,67.31494141,981.5877686,,3.325061798,0.0,4.807777405"
"2024-02-12 21:40:14.142000+00:00,""TM, TM, TM"",""PP, PP, P"",28.44000053,61.61621094,981.6362305,,7.315135956,0.0,4.80606842"
"2024-02-12 21:50:24.808000+00:00,""TM, TM, TM"",""PP, PP, P"",28.54999924,60.69238281,981.6473389,,0.0,0.0,4.805128098"
"2024-02-12 22:00:36.005000+00:00,""TM, TM, TM"",""PP, PP, P"",28.70999908,59.10693359,981.6843262,,3.325061798,0.0,4.802735329"
"2024-02-12 22:10:49.923000+00:00,""TM, TM, TM"",""PP, PP, P"",29.39500046,55.42236328,981.5981445,,2.6600492,0.0,4.803675175"
"2024-02-12 22:21:00.836000+00:00,""TM, TM, TM"",""PP, PP, P"",29.43000031,55.38769531,981.5134277,,9.975185394,0.0,4.80247879"
"2024-02-12 22:31:12.263000+00:00,""TM, TM, TM"",""PP, PP, P"",29.54000092,55.49707031,981.4578857,,3.325061798,0.0,4.801709175"
"2024-02-12 22:41:25.803000+00:00,""TM, TM, TM"",""PP, PP, P"",29.46999931,56.48193359,981.4378662,,0.0,0.0,4.800170898"
"2024-02-12 22:51:37.076000+00:00,""TM, TM, TM"",""PP, PP, P"",29.19499969,56.32861328,981.4889526,,0.0,0.0,4.800085545"
"2024-02-12 23:01:47.858000+00:00,""TM, TM, TM"",""PP, PP, P"",29.75500107,54.77929688,981.635498,,0.0,0.0,4.801453114"
"2024-02-12 23:12:02.124000+00:00,""TM, TM, TM"",""PP, PP, P"",29.54000092,55.54248047,981.8917847,,0.0,0.0,4.799059868"
"2024-02-12 23:22:12.845000+00:00,""TM, TM, TM"",""PP, PP, P"",29.22499847,57.7265625,981.8063965,,0.0,0.0,4.801111221"
"2024-02-12 23:32:24.062000+00:00,""TM, TM, TM"",""PP, PP, P"",28.81999969,58.50292969,981.7949219,,0.0,0.0,4.798547268"
"2024-02-12 23:42:37.857000+00:00,""TM, TM, TM"",""PP, PP, P"",29.52499962,56.06201172,981.9044189,,0.0,0.0,4.798376083"
"2024-02-12 23:52:49.206000+00:00,""TM, TM, TM"",""PP, PP, P"",30.05999947,54.73486328,982.012207,,0.0,0.0,4.796581268"
