_time,tipo_aviso,grau_severidade,temperature,humidity,pressure,altitude,windspeed,solarvolt,batvolt
"2024-02-10 21:43:10.365000+00:00,""TM"",""PP"",26.47999954,78.02539063,986.0318604,,9.310173035,0.0,4.801196575"
"2024-02-10 21:53:21.623000+00:00,""TM"",""PP"",26.55500031,76.89404297,986.0349121,,6.650123596,0.0,4.801196575"
"2024-02-10 22:03:33.562000+00:00,""TM"",""PP"",26.71500015,75.38964844,986.0339355,,6.650123596,0.0,4.800769329"
"2024-02-10 22:13:48.011000+00:00,""TM"",""PP"",26.55500031,76.00878906,986.1622314,,9.310173035,0.0,4.799743652"
"2024-02-10 22:23:58.750000+00:00,""TM"",""PP"",26.63000107,75.10205078,986.229187,,3.325061798,0.0,4.798034668"
"2024-02-10 22:34:09.818000+00:00,""TM"",""PP"",26.59000015,74.60693359,986.2721558,,5.985111713,0.0,4.79888916"
"2024-02-10 22:44:23.895000+00:00,""TM"",""PP"",26.43000031,74.96240234,986.2719727,,33.91563034,0.0,4.797948837"
"2024-02-10 23:04:52.063000+00:00,""TM"",""PP"",26.27000046,75.61816406,986.4103394,,3.325061798,0.0,4.795213699"
"2024-02-10 23:15:05.979000+00:00,""TM"",""PP"",26.11499977,75.86767578,986.3173218,,0.0,0.0,4.796068192"
"2024-02-10 23:25:16.659000+00:00,""TM"",""PP"",26.09499931,75.59570313,986.2279053,,0.0,0.0,4.794273376"
"2024-02-10 23:35:27.508000+00:00,""TM"",""PP"",26.02499962,75.28076172,986.1722412,,6.650123596,0.0,4.793248177"
"2024-02-10 23:45:41.185000+00:00,""TM"",""PP"",25.99499893,74.88427734,986.0057373,,16.62530899,0.0,4.792393684"
"2024-02-10 23:55:51.832000+00:00,""TM"",""PP"",25.85499954,75.38134766,986.0596924,,2.6600492,0.0,4.793418884"
